METRO,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Canton-Massillon, OH Metro Area",-1385,398711,8.93,5.06,4.39,0.82,0.56,1.1,30.61,19.4,13,14,4.4,54854,71709
"Cape Coral-Fort Myers, FL Metro Area",1769,756570,7.98,4.29,3.99,0.86,0.68,1.52,31.11,19.7,13.3,13.9,5.2,59608,84303
"Cape Girardeau, MO-IL Metro Area",429,97026,10.62,4.42,8.48,1.06,0.6,0.6,26.62,19.2,14.5,11.1,3.8,51428,66428
"Carbondale-Marion, IL Metro Area",1381,136837,12.14,4.35,8.8,2.21,0.74,1.03,27.71,15.4,12.1,11.8,4.3,46563,65623
"Carson City, NV Metro Area",419,55244,10.25,4.8,4.06,0.75,0.5,1.29,32.53,21.2,13,13.5,5.6,58305,79561
"Casper, WY Metro Area",-486,80067,10.21,5.2,4.76,0.94,0.39,1.36,32.67,18.3,14.1,15.9,6.2,62168,81452
"Cedar Rapids, IA Metro Area",1100,271734,9.87,5.1,4.66,0.93,1.14,2.11,32.59,18.7,15.3,16.3,6.9,66620,86435
"Chambersburg-Waynesboro, PA Metro Area",-374,154954,8.57,5.31,3.23,0.88,0.72,0.85,30.5,21.3,15.8,17,5,63420,79534
"Champaign-Urbana, IL Metro Area",1650,226418,15.25,4.02,15.51,5.47,1.43,2.11,33.04,16.4,11.3,14.6,5.9,54897,76655
"Charleston-North Charleston, SC Metro Area",1229,790955,11.06,4.67,4.8,1.52,1.07,1.88,30.01,18,12.8,16.3,6.8,65894,92599
"Charleston, WV Metro Area",-118,260920,8.64,4.43,2.97,0.96,0.5,0.93,28.12,17.7,10.3,11.7,3.5,46099,65158
"Charlotte-Concord-Gastonia, NC-SC Metro Area",9198,2595027,9.95,5.43,4.65,1.11,1.41,1.87,30.09,18,13.1,15.5,6.9,65725,92924
"Charlottesville, VA Metro Area",126,217455,10.69,4.01,8.89,3.13,1.49,2.2,32.84,16.6,13.7,17,9,75176,105855
"Chattanooga, TN-GA Metro Area",2017,561055,9.75,4.6,5.18,0.92,0.74,1.68,28.96,18,12.6,13.5,4.6,54425,76943
"Cheyenne, WY Metro Area",787,99272,11.65,4.92,5.42,1.17,0.69,1.43,33.6,19.6,15.3,19.3,6.4,69369,88451
"Chico, CA Metro Area",-569,223344,12.27,5.02,10.94,0.96,0.74,0.93,30.79,16.1,11.7,13.5,6.1,54972,79233
"Clarksville, TN-KY Metro Area",2147,304584,14.59,4.93,6.15,1.4,0.55,0.9,28.51,19.8,14.1,13.4,4,54911,70402
"Cleveland, TN Metro Area",-423,123731,9.28,5.04,6.19,0.68,0.54,1.1,27.61,18.6,12.4,13.1,3.6,51015,67538
"Coeur d'Alene, ID Metro Area",629,161676,8.94,5.01,3.35,0.63,0.52,0.9,32.31,22.2,12,16.5,5.6,60903,77123
"College Station-Bryan, TX Metro Area",-608,261701,17.04,4.25,17.96,4.32,0.97,2.42,28.87,17,10.8,12.7,4.8,51261,74718
"Colorado Springs, CO Metro Area",6634,735480,12.82,5.26,6.26,1.47,1.95,2.08,32.33,18.8,14.1,17.7,8,71171,91541
"Columbia, MO Metro Area",-834,207248,13.95,4.15,12.78,3.36,1.08,1.41,32.63,18.1,13.1,13.8,5,57980,77719
"Columbia, SC Metro Area",7441,832925,10.81,5.05,6.08,1.58,0.91,1.36,29.5,18.5,13,13.8,5.8,56680,76539
"Columbus, GA-AL Metro Area",2380,319643,12.03,5.22,5.61,1.48,0.91,0.54,26.08,17.9,11.3,11.5,4.4,48903,67981
"Columbus, IN Metro Area",75,83280,10.82,5.68,2.92,0.94,1.54,5.7,29.28,18.8,15,16,6.9,66978,81962
"Corpus Christi, TX Metro Area",-1869,429120,10.89,5.48,5.16,0.68,0.49,1.04,24.37,18,12.5,14.8,5.8,56714,75451
"Corvallis, OR Metro Area",-29,92168,15.93,4.17,19,4.06,1.66,3.53,35.35,17.5,12,15.8,7.8,65142,87286
"Crestview-Fort Walton Beach-Destin, FL Metro Area",1321,278479,11.68,4.56,4.07,1.2,1.25,2.34,31.73,18.7,14.3,16.7,6,65075,86066
"Cumberland, MD-WV Metro Area",-176,98049,10.94,4.11,6.61,0.97,0.54,0.77,27.53,21.2,13.2,10.7,3,50188,62414
"Dalton, GA Metro Area",-590,143911,10.06,6.26,4.11,0.37,0.34,0.59,23.32,20.5,12.4,11.3,2.5,50322,66337
"Danville, IL Metro Area",-725,76704,9.11,5.42,3.27,0.6,0.31,0.54,26.61,18.3,11.4,12.2,3.2,46842,61679
"Daphne-Fairhope-Foley, AL Metro Area",633,218289,8.06,4.92,3.39,0.55,0.5,1.79,29.93,16.8,13.7,15.5,5.8,61756,83626
"Davenport-Moline-Rock Island, IA-IL Metro Area",-1168,380274,9.14,5.18,4.13,1,0.75,1.55,30.27,19,13.4,15.9,5.5,59876,78172
"Dayton-Kettering, OH Metro Area",443,805929,10.08,4.97,6.28,1.58,0.91,2.2,31.74,18.2,13.3,14.3,5.7,57631,76393
"Decatur, AL Metro Area",147,152321,9.06,5.24,3.76,0.59,0.6,1.54,25.55,18.3,12.1,12.5,4.7,51842,68866
"Decatur, IL Metro Area",44,104688,8.75,4.97,3.63,0.73,0.48,1,29.63,19.2,12.4,12.2,4.6,53725,71534
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1987,658961,8.56,4.39,5.03,0.78,0.69,1.29,31.48,19.4,12.6,13.2,3.9,53339,72036
"Des Moines-West Des Moines, IA Metro Area",3143,690585,10.39,5.41,4.05,1.12,1.2,1.18,31.65,18.6,14.3,18.4,7.8,71734,92399
"Dothan, AL Metro Area",-1168,148825,8.63,4.99,3.92,0.85,0.49,0.79,24.43,16.8,11.9,12,4.1,47608,66342
