name_2019,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Longview, WA Metro Area",-80,106778,8.8,5.19,3.8,0.61,0.45,0.98,30.1,18.2,14.1,12.9,5.3,54506,71700
"Los Alamos, NM Micro Area",-115,18625,8.56,6.22,3.33,2.66,4.86,10.96,38.03,10.3,11.2,24.9,15.9,121324,141162
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2341,13249614,11.56,5.32,7.14,1.48,1.12,2.2,26.95,15.6,12.4,16.5,8.6,72998,104698
"Louisville/Jefferson County, KY-IN Metro Area",1118,1257088,9.95,5.22,4.24,1.21,0.89,1.3,29.25,18.4,13.4,14.4,5.9,59158,80682
"Lubbock, TX Metro Area",2638,316474,13.69,5.26,11.74,2.26,0.53,0.98,27.61,17,12,13.5,4.7,51942,72713
"Ludington, MI Micro Area",-111,28954,7.87,4.68,3.02,0.74,0.72,1.04,30.53,20.8,12.7,12,2.7,51725,68774
"Lufkin, TX Micro Area",427,87322,9.45,5.67,3.98,0.4,0.24,0.69,25.28,20,13.6,10.8,3.9,50453,63164
"Lumberton, NC Micro Area",-1082,132596,9.75,5.76,5.1,0.69,0.3,0.22,18.27,16,9,7.5,2,34976,49701
"Lynchburg, VA Metro Area",1586,261652,10.57,4.67,8.47,1.89,0.7,1.18,27.81,18.4,14.1,12.8,4.6,53798,70753
"Macomb, IL Micro Area",116,30479,14.04,4,19.55,2.19,1.12,0.28,28.11,15.1,11.5,12.8,3.7,44471,60150
"Macon-Bibb County, GA Metro Area",145,229504,9.47,5.23,5.52,1.36,0.87,0.67,25.67,15.6,11.2,10.6,4.2,44332,65876
"Madera, CA Metro Area",-373,155433,9.85,7.17,5.32,0.47,0.15,0.51,20.45,18,13,15.5,4.9,57585,74861
"Madison, IN Micro Area",118,32201,8.94,4.78,5.78,0.73,0.21,1.13,27.56,19.6,14.5,12.9,3,52718,67274
"Madison, WI Metro Area",1979,653725,12.54,4.61,7.88,2.58,1.74,2.17,35.52,17.8,14.4,18.5,7.8,72374,93923
"Madisonville, KY Micro Area",-422,45331,8.65,5.05,2.69,1.05,0.44,0.52,26.71,17.2,12.4,12.1,3.1,47170,60425
"Magnolia, AR Micro Area",248,23776,11.18,5.27,10.12,1.06,0.32,0.36,18.26,17.3,7.6,10.2,1.3,36193,54263
