"METRO","migration_net","population","male_20_34_p","enrolled_9_12_p","enrolled_college_p","enrolled_grad_p","occ_com_sci_math_p","occ_eng_p","mult_desktop_laptop_p","inc_50_74","inc_75_99","inc_100_149","inc_150_199","median_income","mean_income"
"Boulder, CO Metro Area","2541","322510","13","4.88","10.8","2.78","2.9","5.23","35.89","14.5","12.4","17.2","10.3","83019","115966"
"Bowling Green, KY Metro Area","1769","174498","11.84","4.93","8.95","1.34","0.57","0.88","27.27","18.9","11.9","11.7","3.5","49700","69306"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","2283","265882","12.63","4.66","4.47","0.9","1.05","2.46","34.48","18.4","15.4","19.6","7.7","75411","93122"
"Bridgeport-Stamford-Norwalk, CT Metro Area","430","943926","8.98","6.09","5.48","1.45","1.63","2.29","30.47","12.8","10.7","16.3","10.3","95645","155154"
"Brownsville-Harlingen, TX Metro Area","-2967","421666","9.93","7.04","4.34","0.51","0.33","0.69","16.11","16.5","10","9.3","2.9","38758","55520"
"Brunswick, GA Metro Area","171","117400","8.37","5.26","2.99","0.71","0.41","0.7","27.94","16.5","11.4","13.7","4.4","50671","74623"
"Buffalo-Cheektowaga, NY Metro Area","-1529","1130175","10.25","4.99","5.51","1.54","0.88","1.42","31.65","17.3","12.9","14.9","6.3","57621","76986"
"Burlington-South Burlington, VT Metro Area","2106","218784","11.78","4.72","9.05","1.97","1.4","2.37","33.91","17.9","14.8","18.7","7.1","71413","91430"
"Burlington, NC Metro Area","-172","163324","8.96","5.71","6.64","0.64","0.78","0.92","28.55","17.6","12.1","13.1","4.1","49688","67667"
"California-Lexington Park, MD Metro Area","338","112290","10.53","5.56","6.05","1.92","1.56","4.49","30.15","14.3","14.4","22.8","12.1","89845","108493"
"Canton-Massillon, OH Metro Area","-1294","399736","8.91","5.14","4.52","0.77","0.52","1.1","30.39","19","13.1","13.5","4.6","53978","70518"
"Cape Coral-Fort Myers, FL Metro Area","2184","737468","7.98","4.38","3.9","0.86","0.73","1.47","30.67","19.6","13.2","13.3","5.2","57832","82544"
"Cape Girardeau, MO-IL Metro Area","498","96976","10.58","4.67","8.67","1.12","0.63","0.69","26.63","19.7","12.9","12.4","3.3","51429","68523"
"Carbondale-Marion, IL Metro Area","1653","137573","12.34","4.44","9.43","2.31","0.46","0.77","27.09","15.9","11.1","11.6","4","45052","63542"
"Carson City, NV Metro Area","123","54773","10.24","5.24","4.38","0.76","0.58","1.54","32.09","19.9","14","13.6","4.3","55718","75267"
"Casper, WY Metro Area","-535","80333","10.76","5","5.01","0.85","0.4","1.04","31.83","18.4","14.8","16","5.9","62772","80679"
"Cedar Rapids, IA Metro Area","1595","270056","9.94","5.1","4.71","0.94","1.06","2","32.43","19.3","14.4","16.9","6.4","64687","82498"
"Chambersburg-Waynesboro, PA Metro Area","-865","154147","8.55","5.38","3.24","0.82","0.7","0.81","30.08","19.7","16.4","16.2","5","63379","78332"
"Champaign-Urbana, IL Metro Area","1709","226323","15.5","4.08","16.19","5.17","1.5","2.02","32.75","16.3","11.6","13.8","5.9","53641","75275"
"Charleston-North Charleston, SC Metro Area","1382","774508","11.16","4.87","4.96","1.35","0.99","1.83","29.59","18.4","13.5","15.6","6.3","63649","88023"
"Charleston, WV Metro Area","-495","264113","8.6","4.58","3.11","0.9","0.57","0.95","28.05","17.7","10.6","11","3.3","45225","63468"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","13549","2545560","9.9","5.56","4.73","1.07","1.35","1.83","29.94","18.1","13","15.1","6.7","63217","89212"
"Charlottesville, VA Metro Area","562","215445","10.58","4.43","9.23","2.92","1.4","2.19","32.59","16.5","13.6","16.7","8.6","72697","102577"
"Chattanooga, TN-GA Metro Area","1905","556209","9.73","4.64","5.1","0.86","0.72","1.65","28.46","18.2","12.1","13.1","4.5","53126","73882"
"Cheyenne, WY Metro Area","564","98320","11.78","4.72","4.44","1.13","0.45","1.42","33.22","19.5","15.5","18.1","6.5","66910","85483"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","-7509","9508605","10.55","5.55","5.15","1.6","1.42","1.99","29.44","16","12.8","17","8.4","71770","100233"
"Chico, CA Metro Area","-540","225817","12.29","4.77","11.41","1.07","0.63","0.86","30.89","16.9","11.4","12.9","5.1","52537","75746"
"Cincinnati, OH-KY-IN Metro Area","6238","2201741","10.01","5.42","5.12","1.24","1.11","1.91","30.6","17.6","13.2","16","7","63987","86633"
"Clarksville, TN-KY Metro Area","1906","299470","14.71","5.07","6.07","1.34","0.56","0.72","28.15","19.7","13.7","12.4","4","53027","67368"
"Cleveland-Elyria, OH Metro Area","2239","2056898","9.4","5.33","4.89","1.36","0.89","1.71","31.64","17.4","12.4","13.9","5.5","56008","79168"
"Cleveland, TN Metro Area","-904","122563","9.38","5","5.97","0.71","0.48","1.13","26.96","18.4","12.7","12.6","3.5","49921","67336"
"Coeur d'Alene, ID Metro Area","-320","157322","9.06","5.24","3.75","0.65","0.61","1.07","31.69","22.2","12.4","13.7","5.2","57242","74130"
"College Station-Bryan, TX Metro Area","897","258029","17.29","4.27","18.45","4.42","0.9","2.5","28.48","15.8","11.5","12.8","4.7","50240","73129"
"Colorado Springs, CO Metro Area","8574","723498","12.78","5.35","6.53","1.39","1.88","2.18","31.9","19","14.3","17.4","7.3","68687","88185"
